transaction_date,symboling,normalized-losses,make,num-of-doors,wheel-base,length,width,height,curb-weight,num-of-cylinders,engine-size,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price,city-L/100km,horsepower-binned,diesel,gas,horsepower_scaled,make_freq,body-style_convertible,body-style_hardtop,body-style_hatchback,body-style_sedan,body-style_wagon,drive-wheels_4wd,drive-wheels_awd,drive-wheels_fwd,drive-wheels_rwd,aspiration_std,aspiration_turbo,engine-type_dohc,engine-type_l,engine-type_ohc,engine-type_ohcf,engine-type_ohcv,engine-type_rotor,engine-location_front,engine-location_rear,fuel-system_1bbl,fuel-system_2bbl,fuel-system_4bbl,fuel-system_idi,fuel-system_mfi,fuel-system_mpfi,fuel-system_spdi,fuel-system_spfi
2025-01-01,3,122,alfa-romero,two,88.6,0.8111484863046613,0.8902777777777777,48.8,2548,four,130,3.47,2.68,9.0,111.0,5000.0,21,27,13495.0,11.190476190476188,medium,0,1,0.29439252336448596,3,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2025-01-02,3,122,alfa-romero,two,88.6,0.8111484863046613,0.8902777777777777,48.8,2548,four,130,3.47,2.68,9.0,111.0,5000.0,21,27,16500.0,11.190476190476188,medium,0,1,0.29439252336448596,3,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2025-03-01,1,122,alfa-romero,two,94.5,0.8226814031715521,0.9097222222222222,52.4,2823,six,152,2.68,3.47,9.0,154.0,5000.0,19,26,16500.0,12.36842105263158,medium,0,1,0.4953271028037383,3,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
2025-01-04,2,164,audi,four,99.8,0.8486304661220567,0.9194444444444444,54.3,2337,four,109,3.19,3.4,10.0,102.0,5500.0,24,30,13950.0,9.791666666666666,medium,0,1,0.2523364485981308,7,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
2025-05-01,2,164,audi,four,99.4,0.8486304661220567,0.9222222222222224,54.3,2824,five,136,3.19,3.4,8.0,115.0,5500.0,18,22,17450.0,13.055555555555555,medium,0,1,0.3130841121495327,7,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
2025-01-06,2,122,audi,two,99.8,0.8519942335415667,0.9208333333333332,53.1,2507,five,136,3.19,3.4,8.5,110.0,5500.0,19,25,15250.0,12.36842105263158,medium,0,1,0.2897196261682243,7,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
2025-07-01,1,158,audi,four,105.8,0.9259971167707832,0.9916666666666668,55.7,2844,five,136,3.19,3.4,8.5,110.0,5500.0,19,25,17710.0,12.36842105263158,medium,0,1,0.2897196261682243,7,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
2025-01-08,1,122,audi,four,105.8,0.9259971167707832,0.9916666666666668,55.7,2954,five,136,3.19,3.4,8.5,110.0,5500.0,19,25,18920.0,12.36842105263158,medium,0,1,0.2897196261682243,7,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
2025-09-01,1,158,audi,four,105.8,0.9259971167707832,0.9916666666666668,55.9,3086,five,131,3.13,3.4,8.3,140.0,5500.0,17,20,23875.0,13.823529411764708,medium,0,1,0.42990654205607476,7,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
2025-01-10,2,192,bmw,two,101.2,0.8495915425276309,0.8999999999999999,54.3,2395,four,108,3.5,2.8,8.8,101.0,5800.0,23,29,16430.0,10.217391304347826,low,0,1,0.24766355140186916,9,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
